,id,env,algo,policy,weight_init,bias_init,activation_fn,policy_net_scaling,performance,trials,peak_perf
10,dd38144c-0d29-11ed-8084-c18955bc8021,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_uniform,random_uniform,ReLU,,171.973183001,-92.21101412 -83.14673076 17.365208959999997 87.76963186 113.87612465999999 142.32056576 154.53128987999997 167.93642264000002 186.35486676 206.71632322 209.31926318000006 229.14284479999998 223.85426692000001 258.70033473999996 265.91536538 251.75897554000002 270.57293948 279.18266888000005 268.3736667 281.13064554000005 ,281.13064554000005
11,8e1e1a30-0d2b-11ed-8428-df3726f278d4,BipedalWalker-v3,PPO,ActorCriticPolicy,orthogonal,random_uniform,LeakyReLU,,187.12345625100005,-75.76660564 -51.85925982 17.041230320000004 70.8987807 161.30700336 196.19704028 220.63504342000002 228.5630096 250.10611808000004 189.5784071 244.30906765999998 254.1086045 263.67681222 283.92337123999994 292.07588164000003 252.77788098000002 242.68769849999998 210.68255288 209.70148048000001 281.82500752 ,292.07588164000003
12,3ac0ec82-0dcb-11ed-9fca-a7df7aa3c316,BipedalWalker-v3,PPO,ActorCriticPolicy,orthogonal,random_uniform,ReLU,,187.30351112,-74.20306732 -51.56923114 -55.93264808 126.19616168 209.50998199999998 232.68820993999998 145.9808388 190.90915048000002 239.64791712000002 230.30812435999997 246.1321375 275.6006636 272.4924033 273.57378905999997 244.62626068 223.26538432 240.66761714 255.83326176 255.22385804 265.11940916 ,275.6006636
13,34fd77e8-0dcb-11ed-8cdc-ed82adba0661,BipedalWalker-v3,PPO,ActorCriticPolicy,lecun_uniform,random_uniform,LeakyReLU,,180.63884047,-80.69939439999999 -46.60517413999999 24.55544102 27.64732907999998 109.71011563999998 117.56177628 132.57973639999997 184.48328773999998 212.36629783999996 247.4092385 248.84796970000002 255.02038538000002 252.35477115999998 270.07615438000005 252.33766617999999 268.7965828 288.02234200000004 282.27255538 280.19891936 285.8408091 ,288.02234200000004
14,5313d87c-0dfc-11ed-9fca-a7df7aa3c316,BipedalWalker-v3,PPO,ActorCriticPolicy,orthogonal,random_uniform,Tanh,,173.671165813,-88.62144652 -71.32701834 -30.54303936 45.04277259999999 89.94831629999999 154.27685878 118.08004938000003 199.35561850000005 190.41443144 253.60434601999995 259.38565626 251.29988752 244.22118293999998 257.71451682000003 266.20309497999995 267.17303433999996 271.49819779999996 273.40544911999996 251.54319500000003 270.74821268 ,273.40544912
15,097a9654-0dfe-11ed-8cdc-ed82adba0661,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_normal,random_uniform,Sigmoid,,148.72408221300003,-100.08660734 -104.57083137999999 -66.5914885 -54.669448720000005 0.6640934600000008 73.80940948000001 44.9689422 155.33181372 215.64976740000003 242.76742424 216.6739247 249.39870714 259.84827848 265.08614178 282.33234552000005 270.92752952 276.65395618 191.73780254 292.32726468 262.22261915999997 ,292.32726468
16,46d4ff9a-0e70-11ed-92d6-b93cef3499e0,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_normal,random_uniform,Tanh,,156.32358185200002,-98.65225670000001 -62.37783200000001 -19.245785419999997 -32.701366740000005 145.87727074 55.268901760000006 160.82755170000001 177.96430292 200.37185949999997 191.87327471999998 197.95392478000002 187.86060216 226.8489854 241.00745939999996 214.89238256 254.47259516 282.95515652 260.9390022 269.14663214 271.18897624 ,282.95515652
17,46f09fa2-0e70-11ed-bc65-ad05a1457dbd,BipedalWalker-v3,PPO,ActorCriticPolicy,orthogonal,random_uniform,Sigmoid,,168.805838141,-98.11332281999998 -81.83204806 -42.84202604000001 -6.468065919999996 83.33049622 137.30763733999999 161.57215028000002 146.97606004 203.70888104 181.81509624000003 233.36698008 241.85472012 276.29704344 273.50948384000003 263.12247584 276.53877497999997 284.03415328 282.4361748 277.71817648000007 281.78392163999996 ,284.03415328
18,c6e84ef4-0ec9-11ed-8681-6ba5652caf38,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_normal,random_uniform,ReLU,,172.284129217,-90.31838082 -68.49560776 10.180748299999996 38.73909424 76.5898406 100.67804799999999 116.51435502000001 195.47766512 178.07408474 234.7402717 242.15863088 220.36881481999998 252.89202238 255.86021362000002 245.18713408000002 269.28684575999995 286.71546742 288.67130058000004 295.06424558 297.29779008 ,297.29779008
19,cbb16d58-0ec9-11ed-b152-eba60515d60a,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_uniform,random_uniform,LeakyReLU,,48.95679488299999,-103.43832322 -118.88272975999999 -104.02008808000001 -52.149464880000004 -16.402043179999996 17.843441939999988 56.705566 49.17999791999999 78.44044524 95.58066316 83.88490124 95.87241896 103.36083695999999 109.39876490000002 105.88571637999999 123.43035934000002 114.14498774 122.1367486 92.26954224 125.89415616000001 ,125.89415616
20,14d33522-0f13-11ed-849a-999d55681b08,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_uniform,random_uniform,ReLU,,28.78122492300001,-118.90248616 -107.10101517999999 -88.63448414 -61.3332 -49.09789284 -76.28308524 20.927657880000016 58.20344287999999 46.07173114000002 72.83520044000001 42.47000876000001 47.848387139999986 86.21536029999999 114.95800514000003 98.37149159999997 94.07659662 49.180354619999996 108.45707968000002 120.66937646 116.69196935999999 ,120.66937646
21,0ba32750-0f13-11ed-95a8-b7a4860adc2c,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_normal,random_uniform,LeakyReLU,,182.066789966,-92.61063972000001 -41.24585286 36.46367923999999 77.63229616 130.75021678000002 167.05859542000002 210.08196524 203.57882558 227.21607308000003 209.90441918000002 221.58718083999997 231.65872485999998 259.48606738 283.84696968 253.39572035999998 224.59388614 257.44051264 244.15899058000005 278.31550008000005 258.02266866 ,283.84696968
22,00d26ac0-0f45-11ed-849a-999d55681b08,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_uniform,random_uniform,Tanh,,117.41946486999998,-111.41384966000001 -91.11394878 -59.20069083999999 -30.316997520000008 -12.768286460000002 -5.911002539999998 21.405984940000003 51.773598159999985 107.12383242000001 143.94089568 167.34615822 201.84466176 205.88255626 229.71009854 226.13365100000001 248.47541162000002 271.64255027999997 256.3396111 256.73132992 270.7637333 ,271.64255028
23,8fbbbc3c-0f45-11ed-95a8-b7a4860adc2c,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_uniform,random_uniform,Sigmoid,,109.96967735399998,-121.89693926 -118.89643700000002 -114.3640246 -101.59577873999999 -87.71324444 -74.09410266 12.98241074 138.11700849999997 182.65366268000002 207.71782342 205.0000023 213.06096970000004 210.12449864 242.850043 172.6860738 242.26137169999998 242.23869513999998 259.28304134 242.14999820000003 246.82847462 ,259.28304134
24,a1d4e066-0f76-11ed-849a-999d55681b08,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_uniform,random_uniform,Sigmoid,,118.902585753,-122.86366952 -122.67065986 -120.00261953999998 -112.41668788 -92.28012394 10.411561039999999 96.44846949999999 122.53765616000001 126.88275490000001 178.19191161999998 192.35613708 214.3556364 225.63229016 216.28416878 225.91737646 253.90351348 267.02840696000004 253.39291497999997 282.05809958 282.8845787 ,282.8845787
25,3fedf6ce-0f78-11ed-95a8-b7a4860adc2c,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_uniform,random_uniform,Tanh,,159.75642253899997,-98.62916744 -68.14418930000001 -32.226087400000004 -4.459011619999996 8.51635824 73.12984542000001 162.21631804 182.98178707999998 221.55461822 257.09268062 218.07316492 226.90999603999998 267.82682722 251.20326257999994 273.02379486000007 235.31668546000006 270.83078123999996 226.90342530000004 248.55544356000001 274.45191774 ,274.45191774
26,f1aa7358-0fa8-11ed-849a-999d55681b08,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_normal,random_uniform,LeakyReLU,,82.273376435,-103.13921372 -93.56437239999998 -87.05159418 -58.108449519999986 -35.13368293999999 -17.081467680000003 11.22373622 23.895141540000004 104.18549394000001 126.5121705 127.96300191999998 121.59175818000001 166.81539528 166.84324518 174.13410370000003 189.04031146000003 197.13054624 198.2591346 230.84123117999997 201.1110392 ,230.84123118
27,3093c56e-0faa-11ed-95a8-b7a4860adc2c,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_uniform,random_uniform,ReLU,,164.019172665,-72.27954714 -57.28839338 -6.664084640000004 22.51000941999999 82.30104466000002 56.486323719999994 118.20973341999999 132.95292020000002 204.35550187999996 231.79497592 201.08087059999997 241.03148143999996 251.87748838000002 253.69732151999997 253.06537361999995 273.76618118000005 281.17338424 271.64351610000006 259.78536936 280.8839828 ,281.17338424
28,cde7258e-0ff7-11ed-992b-436bad7036d1,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_normal,random_uniform,Sigmoid,,151.792217914,-106.75670188 -106.28354277999999 -80.77915754 -61.30566160000001 3.735279600000001 87.52596776 96.27162356000001 184.48173794 205.98776772000002 227.34074379999998 257.48468042 261.524047 270.4690164 268.05864342 252.07026095999998 262.43363261999997 262.46487416 248.94250509999998 255.24893275999997 246.92970885999998 ,270.4690164
29,1776822a-1026-11ed-992b-436bad7036d1,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_normal,random_uniform,ReLU,,73.40600255899999,-111.44257095999998 -93.37836556 -82.80488310000001 -40.07481932 -21.57018342 0.5964702799999941 25.778805319999993 59.8357528 106.37860556000001 118.28350018 138.53436638 58.09455525999999 123.66228385999997 161.6959811 154.2505213 149.38126974 173.23132886 167.7506556 193.00229164 186.91448565999997 ,193.00229164
30,af710fe6-1053-11ed-992b-436bad7036d1,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_normal,random_uniform,Tanh,,139.13543027600002,-112.74865107999999 -81.43778212 -90.05800258 -52.812753420000014 -76.39454142 6.916815399999997 103.57513802000001 156.16768715999999 199.05576744 219.88915762000002 201.60120314 246.54142389999998 207.98893221999998 258.01567352 266.54637632000004 269.52330802 269.51810412 259.85676286 254.39153930000003 276.5724471 ,276.5724471
31,0f2fa9ac-10da-11ed-bd2e-17fd4b9e07c8,BipedalWalker-v3,PPO,ActorCriticPolicy,kaiming_normal,random_uniform,Tanh,,139.13543027600002,-112.74865107999999 -81.43778212 -90.05800258 -52.812753420000014 -76.39454142 6.916815399999997 103.57513802000001 156.16768715999999 199.05576744 219.88915762000002 201.60120314 246.54142389999998 207.98893221999998 258.01567352 266.54637632000004 269.52330802 269.51810412 259.85676286 254.39153930000003 276.5724471 ,276.5724471
32,ea6394e8-10da-11ed-aee8-cf1c076cf383,BipedalWalker-v3,PPO,ActorCriticPolicy,xavier_uniform,random_uniform,LeakyReLU,,177.960009418,-92.11416979999998 -41.4237208 29.587133660000006 65.57859121999999 92.14005035999999 128.08762932 163.56931311999998 182.30083918 204.52352031999996 226.56311144 210.09740404 246.93787251999998 258.6355501 272.03522408000003 265.85148268 268.6388897 262.2245826 272.91529646 262.49602956 280.5555586 ,280.5555586
0,207a34ca-1184-11ed-8932-a31c9c69edcf,BipedalWalker-v3,A2C,ActorCriticPolicy,sparse,random_uniform,LeakyReLU,0.01,31.14347699157896,-31.66408186 -17.04237196 21.821622179999995 48.341455980000006 28.150664680000006 55.551943400000006 58.93106834 8.688213059999999 49.22606600000002 47.50992786000001 47.07006677999999 2.9544377200000005 51.95557305999999 56.054414140000006 44.28296911999998 29.093655660000007 56.218960179999996 51.09983562000001 -16.51835712 ,58.93106834
1,e6bfa3d2-11a1-11ed-91bb-d7e7aeaa61ab,BipedalWalker-v3,A2C,ActorCriticPolicy,lecun_normal,random_uniform,Sigmoid,0.01,-6.051236950526317,-107.13454362 -90.62509569999999 -70.48160338 -46.52282192 -23.103644120000002 -12.967712400000002 18.074190899999998 2.2539546799999988 15.303813559999998 8.168983519999992 26.902481620000003 -5.734109420000003 26.205732259999984 25.502795320000004 -5.515585979999999 26.630415019999987 32.36092026000001 33.9233833 31.78494404 ,33.9233833
